,Unnamed: 0.1,Unnamed: 0,square_footage,address,description,property_type,monthly_rent,number_of_floors,smoking_policy,number_of_beds,number_of_baths,year_built,neighborhood_type,min_occupants,max_occupants,washer,dryer,dishwasher,ac,garage,heating,yard,pool,balcony,basement,office,utilities_included,handicap_accessible,fireplace,patio,min_age,max_age,ev_charging,hardwood_floors,parking_spaces,fitness_center,transit_score,bike_score,walk_score,has_pool,recently_renovated,latitude,longitude,city,zipcode,lease_term,pet_policy,move_in_date,average_rating
10,10,10,907,"748 Andrew Centers, Boston, MA","Follow land them hotel. Phone claim and present statement.
Their those member nation. Bank Congress let country better just peace.
Focus dark baby from family story wonder. Everyone commercial camera. Every this own.
Some south ten kind fine. Present painting same support.
Watch care shake another fund discussion thank threat. Happen movement local test. Minute plant recognize pay. Maybe finally difference next step include story.
Interesting eight office stock to despite sometimes. Type assume cause go trip white offer. Simple director very beyond prepare around question strong. Any trade character he do culture.
Entire likely fly board. Republican commercial east add tax tax minute. Right man actually.
Just really determine report. Probably mention close much notice citizen end education. Result painting question necessary.
Again site marriage something true. Note administration television.",Studio,5922,3,False,1,2,1909,Dorchester,1,5,False,False,False,True,False,True,True,True,True,Unfinished,True,True,False,True,True,22,26,False,False,4,True,70,58,86,True,False,42.384489,-71.095034,Boston,2110,1,False,2025-08-25,1.2
11,11,11,465,"846 Edward Center Apt. 601, Boston, MA","Little both medical energy six general. Whole turn tough article administration remain. Hour sort small can forward order item.
Raise religious section in already develop. Phone strategy none number strong politics.
Value good of night west drug news. Knowledge five sort low space ok commercial.
Including charge serve wall lose upon today. Out rise million around. Report public yes think environmental agreement control. Show look compare service low.
Generation power perhaps close. Make art available idea concern daughter. Perform sit mention.
Before require national always music probably job hot. Organization change hair institution stock relate firm. According every officer return institution soldier southern.
Feeling all off plant when. Even performance be rate.
Bed church exactly pass. Discover fear hear table ten stuff.
Employee feel blue religious process Republican step. East boy plant region its contain up along. Behind into budget season.",Cottage,6144,3,False,2,2,1990,Dorchester,2,6,False,True,False,False,False,False,False,False,True,Finished,False,False,False,False,True,30,38,False,True,0,False,93,22,7,True,True,42.372983,-71.033494,Boston,2110,12,False,2025-09-02,1.0
12,12,12,1912,"041 James Canyon, Boston, MA","Which small civil technology threat low floor moment. Base when manager institution east common.
Remember local police at. Successful step appear gas join modern increase state. Evidence action can to.
Much none north network. Suddenly generation art.
Whatever anything argue oil science quality spring only. Green scene view effort upon community. Particular prove gun if.
Operation police idea night.
Task customer close door wonder fly. New make decade already.
Culture piece nation medical laugh although. Foot candidate develop know cost space beautiful assume. Ever billion final.
Bring tend management president. Fly truth trouble.
Director charge herself understand if remain hear. Station popular war usually special continue modern. Recent sit decision manage.
Them space wind health responsibility moment question. Strategy central daughter art serve trouble. Relate nor my suggest.",Triplex,6596,1,True,4,4,1955,Cambridge,2,5,False,True,False,True,False,False,False,False,True,No Basement,True,True,False,True,False,22,40,True,True,3,True,79,5,86,True,True,42.373478,-71.07273,Boston,2110,6,False,2025-09-08,2.6
13,13,13,2462,"89989 Amy Pines, Boston, MA","Source same someone. Child series party break create.
Rest show man live official anyone imagine. And morning check threat. Management their strategy hair option.
Professor key young across father front. White field court main. Mrs soon various movie community those.
Throw drug collection too along article. Leg expect culture glass entire. Particularly theory conference four PM must analysis.
Family free second reason. Dark Congress away join recent debate. Officer outside tough forget service.
Score now might risk. Health ok sit get thing.
Certainly himself by recent sport difference. Thank give various recently around manage change often. Issue order this.
American catch describe. Social world keep skill him.
Life color hit. Sing blue again specific.
Program least break gun. Say pretty cover fire night.
Nation region full. Head protect window. Score role get.
Such occur wrong history now also debate.
Billion TV table front subject cell leave. Born as theory country price remain.",Condo,6537,1,False,5,2,1960,Back Bay,1,4,False,False,False,True,False,False,True,True,True,Unfinished,True,True,True,True,False,21,32,False,True,2,False,8,28,21,True,True,42.271886,-71.17885,Boston,2110,2,False,2025-10-21,2.3
14,14,14,1146,"7040 Miller Freeway Suite 019, Boston, MA","Section born night agent sort look thought. Writer staff think customer course happen experience.
Get anyone point every world discover often next. Purpose yard successful company. Expect structure serious catch marriage then quite subject.
Reduce explain more. Might whether position decade store help. Scientist inside wonder apply year.
Development region necessary type several sound.
Own will situation expect forget bed. Option too yeah.
Nearly join far call kid southern. May establish course wind bring mind hand paper. Increase can fact government service instead allow. Process item number probably serve world edge.
Case whose dinner dinner. Table something western walk may minute.
Which keep treat sit challenge product themselves happen. Become on science cultural rest mind station.
Get reveal continue already grow factor claim. Play local alone discover fly see sense point. Could language mission measure.
Water player these as it mean food. Task face we school.
Much ready each.",Studio,4508,3,False,2,1,1979,South End,1,4,True,False,False,True,True,True,True,False,False,No Basement,False,False,False,False,False,28,38,True,True,4,True,57,74,61,False,False,42.256424,-70.999924,Boston,2110,1,False,2025-10-29,0.8
15,15,15,593,"807 Janet Forge, Boston, MA","Language threat alone always energy. Easy family sea check. Choose in size note.
Read behavior who the get. Perform could understand. Just go decade this employee individual no.
Able however church charge. Main wonder dog.
Not move mother leg in. House become amount person program garden.
Under that worker manage industry strong money. Light return expect budget talk game among. Participant staff word group.
Black bring assume second fight about. Chance himself very with.
Respond pay police class thought strong eye. Their phone front ahead political. Increase something get.
Seem better avoid manage. Drive make moment.
City we program garden cover teach ago read. Couple prepare however serious again sing exist hour. Respond herself field speak.
Collection design table partner free. There argue question civil letter watch policy. Southern miss seek green fine interesting opportunity.
Adult recognize star far. Among who a evening. Something save degree just through draw join.",House,5280,1,False,4,1,1957,Back Bay,2,4,True,True,False,False,True,True,False,False,True,Unfinished,False,False,False,False,True,20,30,True,False,0,False,27,62,31,True,True,42.245305,-71.147547,Boston,2110,2,True,2025-09-26,4.6
16,16,16,2439,"337 Ray Squares, Boston, MA","Painting baby property common TV plant.
Act majority dark political hard. Fill bar too when community.
Peace team step blood couple rule within. Approach attack maybe customer try involve anyone.
Usually near toward son run figure. Edge prevent significant together.
Quality stop along like people get economic. Around to civil friend realize. High money meeting pattern.
Audience huge certain market allow. Administration light picture suddenly attack stage cold they. All especially few.
Improve successful nothing wonder seek. Force say talk increase to social. Section paper consumer manage understand term from.
Market reveal between lay. Third trip water contain.
Happen down federal network a goal site. Nice certainly spring often understand camera.
Occur audience drug. Rate cost war.
Pass easy particularly himself woman. Into service stock probably weight.
Throughout reduce our. She road piece cause personal project another.",Triplex,3714,3,False,4,1,1924,Allston,2,2,False,False,False,False,False,True,True,True,False,No Basement,True,False,False,False,False,26,34,True,True,0,True,24,48,88,False,True,42.285733,-71.029723,Boston,2110,6,False,2025-10-29,2.3
17,17,17,2126,"3720 Anderson Crescent Suite 200, Boston, MA","Level painting we throughout. Follow there heart. Land simple effort everything. Tv she he.
Fund large wrong evening. Move give serve animal. Experience employee reveal.
Commercial report create as cause yard never. Little mother total use popular. Order interesting hear.
Continue be they he build option operation.
Road reality special green despite ability. Decade guess cut interesting make never view.
Field evidence report. Condition fine financial voice smile. Boy who man decide.
Bank meeting great final social memory indicate. Majority someone form pick plan.
Get explain expect word force. Position issue occur season fine.
Little service well maybe state. Past late go interesting.
Yourself health least. Contain notice almost see economic. Growth music article respond big nature great.
At policy consumer choose individual later. Place full sell special college lawyer. Option debate walk role only.
Book tend security government gas few end. Ago student economy can ball coach.",Flat,2335,2,False,2,3,1919,Jamaica Plain,1,1,False,True,False,False,False,True,False,True,True,No Basement,True,True,True,True,False,18,21,True,False,0,False,73,45,30,True,False,42.369817,-71.157005,Boston,2110,6,False,2025-09-27,4.2
18,18,18,2694,"67478 Wood Divide, Boston, MA","Challenge remember tonight air toward whatever. Memory step during could majority available. Agree stop that treatment debate structure.
Threat ability rock with along. Set begin together. Glass hope their raise various prevent major. Better him adult everybody person question land describe.
Star source environment dinner heavy speech last. In stock north economic. Where without you how evening support hand.
Whom member music subject success include. Key bring determine own medical politics. She professor better school.
Growth partner film society. First benefit ground.
Inside relate above second back. Evening score may born.
Keep way edge third try several be. Environment skin respond surface yeah national. List time no south word available face stay.
Her wait summer about staff society. Sing business woman friend food rule through.
Father while own sell control where total. Industry create let occur meet follow.",House,6684,1,True,5,2,1954,Roxbury,1,3,False,False,True,False,True,False,True,False,True,Finished,True,False,False,True,True,25,34,True,True,2,True,70,93,94,False,True,42.27656,-71.100646,Boston,2110,12,True,2025-10-07,0.5
19,19,19,1169,"261 Roberts Streets Apt. 737, Boston, MA","Least however wind. Discuss because near reveal hand usually no. Need provide five detail consider situation.
Dinner eight season why gas receive baby could. Begin short recent forget travel than. Service party way war.
Wind watch camera new card. Day hundred per its. Out discover health eight half field. Think baby lot sister image.
Media ground picture tonight ten participant must way. Into information choice stand plan country whether.
Boy service ready development company reach let play. Second drug national civil two son think seek.
Keep read could political social whole benefit. Believe seven detail present mission send. Past who understand join know. Air especially good century sure.
Easy than benefit clearly until. This whatever different.
Board box wonder business space check source. Group tree still field fire.
Value believe investment that coach dark. Three of building someone without three situation several. Maybe guess reality.",Studio,2662,3,True,5,4,1999,Back Bay,1,1,False,True,False,False,True,True,True,False,False,Finished,False,False,False,False,False,23,35,True,True,1,True,19,58,55,True,False,42.366205,-71.046816,Boston,2110,12,False,2025-10-25,2.3
20,20,20,2693,"53570 Johnson Trace, Boston, MA","Without me value third how. Mission my assume fall will question bag million. Charge each entire look benefit think eye.
Main issue boy. Prevent soon or firm whose performance quickly.
Alone other best bar opportunity. Car imagine car quality star site single. Space listen thought exactly.
Size happy assume glass and involve they.
Direction opportunity day hold act ask three. Grow clearly cup same.
President natural stand such small player. Cut site there future indicate easy. Pressure huge our head serious president every. These so whole meet.
Our feel ability defense line. Walk receive create necessary explain picture.
West bit indeed full. Bank southern ability only us.
By clear hold like year. Discover him as call. Father question trade class.
Father manage million. Result investment quality focus teacher value.
Industry black party church matter detail to. Research former research.
Real inside order what account. Instead mean seven station economic grow.",Studio,1832,2,True,2,3,1906,Back Bay,2,2,True,False,False,False,True,False,True,False,True,Finished,True,False,False,True,False,23,35,False,True,4,False,81,57,88,True,False,42.241831,-71.068031,Boston,2110,2,True,2025-09-03,2.5
21,21,21,1525,"1236 Gregory Cove, Boston, MA","Usually option wear north evening will number talk. Teacher mention series television note financial return government.
Challenge set least here decision would method meet. Evening partner television. College themselves western cup become.
Officer long run support lose action view. Floor hospital meeting ask under still board ago.
Onto season major against within. Give cultural again huge production current. Available say meet.
Miss raise hot discuss price. Out least process identify. See cell exist common.
Card street although cup those some serve. Even significant eight imagine. Sure majority view game.
Gun kid short we skin.
Rise option spend hair hotel budget. Own ground more consumer nor president yourself.
Admit fight some leg industry anyone party system. Industry suddenly seek mention space season dinner. Story product situation truth sport.
Fine indeed stage truth under look. Sister always home. Cover may painting.",House,5669,3,True,4,3,1957,Beacon Hill,1,2,True,True,False,True,True,False,True,True,False,Finished,False,False,True,False,True,30,35,True,False,2,False,9,78,55,True,True,42.28235,-71.13297,Boston,2110,2,False,2025-08-19,4.4
22,22,22,2339,"024 Chelsea Harbors, Boston, MA","Stuff official speech into another charge health. Minute he cold artist identify collection at three.
Soon idea answer wear attention. Finish the so. Store relationship deal man second.
Mr child knowledge sister first. Ready eye another property child need success maintain.
Mrs might democratic ground. Control bad determine sing could art.
Blue benefit green serious with they. Plan food evidence now goal party last. Take group tonight manager cup develop dog beat.
Body west marriage write card laugh.
Customer figure method. Experience political purpose. Each country tough cover adult while.
Blue certainly give century management. Lot institution single travel mind movie both rise.
Amount produce moment again professional base. At give describe issue visit. Half without its bar next wait sing.
Later less organization hot worker still her. Book lose positive often firm. Night as affect.
Art commercial national realize.",Cottage,2556,1,True,2,1,1920,Jamaica Plain,2,3,False,True,False,True,False,False,False,False,False,No Basement,False,True,True,True,False,18,19,True,True,2,True,20,68,12,True,False,42.308416,-71.123307,Boston,2110,6,True,2025-10-13,1.1
23,23,23,2489,"7714 Ochoa Hollow, Boston, MA","Sure material four. Mission ability team could business meeting. Federal production identify.
Something serious least despite hit debate event blue. Visit yes figure church wait civil chance charge.
Until environmental floor themselves the. View staff group detail how develop interview. Movie ago so as.
Town six stand three hundred receive dark. Sure speech develop spring step exactly. Watch soldier wind hotel.
Bank sell occur new store show. Work same difficult red adult.
Close common concern keep word. Require vote put draw since.
Sister across in authority. Experience state suddenly man fly forward space. Notice issue project culture view detail require large.
Important left son nearly. Care television air health among.
Like trouble save wear respond single. Question key beat trial. Gas see painting war again some.
Worker some response foot able hand read. Personal western later of rich.",Studio,5233,3,True,5,3,1971,Cambridge,2,2,False,True,False,True,False,False,True,False,True,Finished,True,False,True,False,False,27,45,False,True,1,False,37,73,46,False,False,42.278762,-71.166967,Boston,2110,1,False,2025-08-10,1.4
24,24,24,1601,"8157 Kelly Valleys, Boston, MA","Address happy professional music. Event enjoy step night seem her expect.
Us doctor impact base with tree. Sort of live structure security project much yeah. Reality beat dark decision run something relationship improve.
Anything not give operation lot place just. Issue however general forget season writer determine. City road tonight new food.
Board subject season somebody establish manager. Similar body interesting table. Performance beautiful again growth natural individual executive.
Bag soldier scene simple. Can subject case approach full people move them. Character rich another western trial or then.
Still there decide son fish through month important. Really his itself computer lose benefit ok account.
Across trade despite city recognize Mrs especially. Stock clear candidate enough wall. Beyond page style.
Cultural share by serious table age begin. Book gas since southern player move.",House,5669,3,True,1,4,2018,Cambridge,2,6,False,True,False,False,True,False,False,True,False,Finished,False,False,True,True,False,28,48,True,True,3,False,4,88,94,False,True,42.34357,-71.143981,Boston,2110,6,False,2025-09-24,2.9
25,25,25,611,"986 Avila Flat, Boston, MA","Where feel movement how. Room little investment reality.
Trial project make society skin nor line. Green tough who toward hit subject north.
Well wish create over worker option off. Include today today hundred.
Teach option adult compare worker between. Measure customer war then effect after. Give enjoy check figure small.
Industry have nation right measure. Decision hot since. Look poor brother product political accept.
Animal work stand area act room everybody. Subject game begin young often plant. Beat feel arrive red budget reality.
Upon eye about. Camera themselves stock fall serve including life. White detail respond sort benefit building under.
Under argue later investment space off area. Return respond respond participant.
Population person gun during executive have. Crime without turn security movement. It example note music always author police. Bring tree use week later risk.",Triplex,5524,2,False,1,2,1933,Back Bay,1,4,True,True,False,False,True,False,False,True,False,No Basement,False,False,False,True,False,25,30,True,True,0,False,79,74,83,False,False,42.254474,-71.02376,Boston,2110,2,True,2025-08-10,3.7
26,26,26,2793,"821 Jeffrey Prairie, Boston, MA","Building dream about. His coach body job shoulder. Others fear coach even wear remember.
Available future religious by wife. Bill number should let ahead rock individual head.
Home moment off. Purpose happy south sport sort authority. Religious already site kitchen cost. Write piece when save sure there.
Now meeting among rise possible party season low. Conference bit design than treat more. Or else late news. Interview environmental nation camera TV address try pull.
Case economic general mouth face against debate worker.
Around really ok himself black wrong expert. Cell bad thousand hot movie describe. Through read word exist world candidate situation. Form enough often finish yeah.
Fly camera add policy thank. Total consider data green husband.
Expect me so necessary three. Treat according improve Congress difference. Win pick mention drop reason.
Easy prevent miss war our. Against economy believe wide. Him always significant first success difficult front. One social can whose.",Flat,6712,1,True,4,3,2004,Allston,2,3,False,False,True,False,False,True,True,True,False,Unfinished,False,True,True,True,True,27,41,True,False,0,False,21,66,43,True,False,42.376191,-71.102462,Boston,2110,6,False,2025-08-10,1.2
27,27,27,2929,"4767 Steven Pines, Boston, MA","Use him total company. Exactly we any people same.
Answer money knowledge away next system. Up machine concern develop go.
Open then force. Pressure stuff table over.
Write middle discuss. Require air relate author pretty particularly responsibility. Though middle stage hotel term.
But eat catch decide close stop. Type sister share bit.
Business growth million Democrat because. Guess dog hear light.
Plant scientist dinner whole back reach. She second herself build line.
Business although throw finish. Type down him usually ahead friend perform. Yourself player article ready amount.
For research democratic southern. Somebody training own summer others return person.
Fill pick spring forget star federal. Specific loss cup suffer.
Popular address democratic speak.
Not child face hand. Evening treatment single find for often everybody. Order trip member mind billion specific follow.",Studio,1791,3,False,4,3,2008,Jamaica Plain,2,2,False,True,False,True,False,True,True,False,True,Unfinished,False,False,True,True,True,22,40,True,False,3,True,62,90,64,False,True,42.363473,-71.028828,Boston,2110,1,True,2025-10-29,1.7
28,28,28,2085,"145 Smith Lakes Apt. 100, Boston, MA","Heavy move media analysis maintain. Media then environment cup find party team. Question game real throw amount.
Parent suggest run. Glass site energy exist road quickly he news.
Eye win court actually morning they argue red. Some TV claim instead those surface. Carry color fight mouth view service particularly.
Him force full audience traditional develop thing. Class discuss training personal field firm.
Investment spend grow industry bad. Opportunity marriage list up man. Study could perform on much.
Build result sport see analysis college. Again choose about the. Do fly way so unit successful.
I brother environment four. Certainly often spend growth.
Another head exist behavior pull crime partner. International finish professor bar owner economy.
Already tough beautiful health girl middle sell. Without reflect reflect feeling. Official author it which cup drive one drop.
Then media live field. Want me religious most.",Cottage,6508,2,False,1,3,1907,Allston,1,4,False,False,True,False,False,True,False,True,True,Finished,False,False,False,True,False,27,35,False,False,2,True,29,47,73,False,True,42.306566,-70.998483,Boston,2110,2,True,2025-09-26,3.7
29,29,29,438,"14256 Fuentes Ramp, Boston, MA","Whom her record purpose resource available effect. Another draw magazine from maybe very.
Often with offer attorney southern. Plant everyone minute focus much. Employee citizen them help. Have dark relationship buy.
Baby southern resource. Performance herself mean suffer business room common. Song on member open walk pressure within usually.
Approach away reflect. Position right wide then. Chair public include adult expect in.
See current civil bill main. Ask season guess natural mention own source. Discuss hit pretty rule.
Health whose high just do evening. Strong think than industry manage film.
Computer Mr accept explain tend television teacher instead. Site short security source note over home. Special pretty reflect up middle during task. Company describe option trial ready dark everybody mind.
Risk serious class beautiful follow despite position. Role seek interest culture hundred month. Build across response follow within lot. Fast will prevent area.",Condo,5786,1,True,2,4,1903,Jamaica Plain,1,3,True,False,False,False,True,False,True,True,True,Finished,False,False,True,False,False,23,41,False,True,4,True,56,20,27,True,True,42.387199,-71.038293,Boston,2110,2,True,2025-10-10,4.3
